Pakbon;Filiaal;Datum;Artikel nr;Artikel id;Leverancier;Hoofdgroep;Kleur id;Kleur;Kleur leverancier;Maat;Barcode;Barcode leverancier;Aantal;Material;GN -code;Weight article;Origin;Netto;Kostprijs;Valuta;Kostprijs Valuta
824197;26;10-06-2025;00037490;Q40140;Garcia;Bermuda/Shorts;EKA00000200022561;7151-seagrass;7151-seagrass;S;2900076594060;8713215876002;1;RPL 98%,EA 2%;61046300;345;CN;300;8,99;CHF;8,45
824197;26;10-06-2025;00037532;M42406;Garcia;T-shirts long sleeve;EKA00000200022625;5328-intense pink;5328-intense pink;152/158;2900076654030;8713215817500;3;COT 65%,RPL 35%;61091000;207;CN;180;6,75;CHF;6,35
824197;26;10-06-2025;00037532;M42406;Garcia;T-shirts long sleeve;EKA00000200022625;5328-intense pink;5328-intense pink;164/170;2900076654047;8713215817517;2;COT 65%,RPL 35%;61091000;207;CN;180;6,75;CHF;6,35
824197;26;10-06-2025;00037546;N42609;Garcia;T-shirts long sleeve;EKA00000200022626;5615-wild lime;5615-wild lime;176;2900076671051;8713215818019;1;COT 53%,PL 40%,EA 7%;61091000;150;CN;130;6,75;CHF;6,35
824197;26;10-06-2025;00037549;N42653;Garcia;Colberts (incl gilets);EKA00000200022361;3213-washed terra;3213-washed terra;152/158;2900076674038;8713215823327;2;COT 80%,PL 20%;61043200;748;BD;650;11,23;CHF;10,56
824197;26;10-06-2025;00037581;P42689;Garcia;Dresses;EKA00000200022636;7219-citrus orange;7219-citrus orange;164/170;2900076716042;8713215913318;1;RPL 97%,EA 3%;61044400;230;CN;200;11,23;CHF;10,56
824197;26;10-06-2025;00037581;P42689;Garcia;Dresses;EKA00000200022636;7219-citrus orange;7219-citrus orange;176;2900076716059;8713215913325;2;RPL 97%,EA 3%;61044400;230;CN;200;11,23;CHF;10,56
824197;26;10-06-2025;00037585;Q42402;Garcia;T-shirts.s(incl singlets);EKA00000200019884;53-off white;53-off white;152/158;2900076721039;8713215880863;1;COT 100%;61091000;150;IN;130;4,48;CHF;4,21
824197;26;10-06-2025;00037586;Q42403;Garcia;T-shirts.s(incl singlets);EKA00000200019884;53-off white;53-off white;152/158;2900076722036;8713215880429;2;PL 97%,EA 3%;61099020;150;CN;130;4,38;CHF;4,12
824197;26;10-06-2025;00037616;O43402;Garcia;T-shirts.s(incl singlets);EKA00000200017941;625-white melee;625-white melee;164/170;2900076762049;8713215844308;1;COT 100%;61091000;150;BD;130;4,48;CHF;4,21
824197;26;10-06-2025;00037662;P42601;Garcia;T-shirts.s(incl singlets);EKA00000200022636;7219-citrus orange;7219-citrus orange;164/170;2900076828042;8713215880818;1;COT 100%;61091000;150;BD;130;3,38;CHF;3,18
824197;26;10-06-2025;00037667;Z1193;Garcia;Accessory;EKA00000200016753;60-black;60-black;40-46;2900076837020;8717519147981;1;COT 75%,POL 23%,EA 2%;61159500;115;DK;100;5,20;CHF;4,89
824197;26;10-06-2025;00037667;Z1193;Garcia;Accessory;EKA00000200019907;50-white;50-white;36-42;2900076836016;8717519148001;3;COT 75%,POL 23%,EA 2%;61159500;115;DK;100;5,20;CHF;4,89
824197;26;10-06-2025;00037723;PG51050;Garcia;Pants non denim;EKA00000200022446;2050-sage green;2050-sage green;S;2900076902025;8717519152459;1;COT 55%,LIN 45%;62034235;690;IN;600;21,51;CHF;20,22
824197;26;10-06-2025;00037744;PG50025;Garcia;T-shirts.s(incl singlets);EKA00000200016753;60-black;60-black;L;2900076927042;8717519162267;1;COT 100%;61091000;173;CN;150;6,60;CHF;6,20
824197;26;10-06-2025;00037775;PG51030;Garcia;Polo;EKA00000200021394;2768-kit;2768-kit;M;2900076977023;8717519211675;2;COT 100%;61091000;288;CN;250;13,14;CHF;12,35
824197;26;10-06-2025;00037775;PG51030;Garcia;Polo;EKA00000200021394;2768-kit;2768-kit;XXL;2900076977054;8717519211705;1;COT 100%;61091000;288;CN;250;13,14;CHF;12,35
824197;26;10-06-2025;00037775;PG51030;Garcia;Polo;EKA00000200022233;4815-stone blue;4815-stone blue;XL;2900076978044;8717519211750;2;COT 100%;61091000;288;CN;250;13,14;CHF;12,35
824197;26;10-06-2025;00037786;PG51029;Garcia;T-shirts.s(incl singlets);EKA00000200022446;2050-sage green;2050-sage green;L;2900076995034;8717519214126;1;COT 75%,PL 25%;61091000;173;BD;150;5,22;CHF;4,91
824197;26;10-06-2025;00037787;PG51028;Garcia;T-shirts.s(incl singlets);EKA00000200017943;1464-milk melee;1464-milk melee;M;2900076997045;8717519213983;1;COT 60%,RPL 40%;61091000;173;BD;150;5,00;CHF;4,70
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200020875;2591-deep ink;2591-deep ink;M;2900077004025;8717519213792;1;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200020875;2591-deep ink;2591-deep ink;L;2900077004032;8717519213808;1;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200021394;2768-kit;2768-kit;L;2900077005039;8717519213860;1;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200022446;2050-sage green;2050-sage green;M;2900077003028;8717519213730;2;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200022446;2050-sage green;2050-sage green;L;2900077003035;8717519213747;1;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200022446;2050-sage green;2050-sage green;XL;2900077003042;8717519213754;2;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
